item_id_a,item_id_b,name_a,name_b,brand_a,brand_b,size_a,size_b,pl_a,pl_b,composite,stratum,label,reason,judge
1950518,953102,"(2 pack) Mezzetta Sliced Hot Jalapeo Peppers, 16 fl oz Jar",Mezzetta Tamed Sliced Jalapeno Pepper,mezzetta sliced,mezzetta,16fl_oz,16fl_oz,False,False,0.8576607963540835,very_high,0,"Same brand and product type (sliced jalapeno peppers) and size (16 fl oz), but Store A is explicitly a 2-pack while Store B is single-item, so not interchangeable as presented.",gpt-5-nano
1917679,105995,Starburst Original Jelly Beans Chewy Candy - 14 oz Bag,Starburst Jelly Beans Original,starburst original,starburst,14oz,14oz,False,False,0.8965918901241405,very_high,1,"Same brand class (national), same product (Starburst jelly beans original), and same size (14 oz).",gpt-5-nano
2119352,1089578,"Little Bites Chocolate Chip Muffins, 10 packs, Mini Muffins, 16.5 oz Multipack (Pack of 3)","Entenmann's Little Bites Muffins, Chocolate Chip, Value Pack",entenmann s,entenmann s,16.5oz,16.5oz,False,False,0.9133793755652984,very_high,1,"Same brand (Entenmann's), same product type (Little Bites Chocolate Chip muffins), same flavor, same size 16.5 oz; multipack count differs but per-unit size matches.",gpt-5-nano
283251,100337,"Doritos Nacho Cheese Flavor Tortilla Snack Chips, Bags, 10 count Multipack","Doritos Tortilla Chips, Nacho Cheese Flavored",doritos nacho,doritos,10ct,10ct,False,False,0.8810807882613511,very_high,1,"Same brand (national Doritos), same product type (tortilla snack chips), same flavor (Nacho Cheese), and same size/count (10 ct).",gpt-5-nano
1950514,105461,(2 pack) Milky Way Fun Size Halloween Chocolate Candy Bars - 10.65oz Bag,Milky Way MILKY WAY Fun Size Chocolate Candy Bars Packs,milky way,milky way,10.65oz,10.65oz,False,False,0.9305638773547829,very_high,1,"Same brand (national), same product type (Milky Way Fun Size chocolate candy bars), and same total size 10.65oz; A is labeled as a 2-pack but per-unit/total size matches.",gpt-5-nano
2068851,2157029,"(4 pack) Kevin's Natural Foods Korean BBQ-Style Chicken, Fully Cooked Refrigerated Entree, Plastic 16 oz","Kevin's Natural Foods Korean BBQ-Style Chicken, Paleo",kevin s natural foods,kevin s natural foods,16oz,16oz,False,False,0.9220176266106852,very_high,0,"Same brand class and 16oz, but product variant differs: A is a 4-pack specific item while B is a single-item listing; interchangeable only if per-unit size matches, but multi-pack context makes them not the same for shopping.",gpt-5-nano
1946096,1084274,"BAND-AID Brand Bandages for Kids, Disney Characters, Assorted, 20 Count","Band-Aid Adhesive Bandages, Disney, Assorted Sizes",band aid brand,band aid,20ct,20ct,False,False,0.8612574756785496,very_high,1,"Same national brand (Band-Aid), same product type (adhesive/disney assorted bandages), and same size/count (20 ct); brand class, variant (Disney assorted), and size match.",gpt-5-nano
1916546,950985,"Tampax Radiant Tampons Multipack, with LeakGuard Braid, Light/Regular, 26 Count","Tampax Radiant Tampons Multipack, with LeakGuard Braid, Light/Regular",tampax radiant,tampax,26ct,26ct,False,False,0.9601269632609152,very_high,1,"Same brand class (national), same product type (Tampax Radiant multipack tampons with LeakGuard Braid, Light/Regular), and same size (26 count).",gpt-5-nano
1919887,1089496,"Mug Soda Root Beer 16.9 fl oz, 6 Count","MUG Soda, Root Beer",mug soda,mug,16.9fl_oz,16.9fl_oz,False,False,0.934831131904554,very_high,1,Both are national-brand Mug Root Beer soda in 16.9 fl oz; same product type and flavor; multi-pack difference is acceptable since per-unit size matches.,gpt-5-nano
375703,99663,"Reese's Milk Chocolate Snack Size Peanut Butter Cups Candy, Pantry Pack 13.75 oz, 25 Pieces","Reese's Peanut Butter Cups, Snack Size Cups, Pantry Pack",reese s milk,reese s,13.75oz,13.75oz,False,False,0.9034599768472222,very_high,1,"Same brand class (national), same product type (Reese's peanut butter cups snack size), same flavor (milk chocolate peanut butter cups) and same size (13.75 oz pantry pack).",gpt-5-nano
1920786,2143986,"Milo's Famous Sweet Iced Tea, 100% Natural, 128 fl oz","Milo's Tea, Famous Sweet",milo s famous,milo s,128fl_oz,128fl_oz,False,False,0.8936808526323239,very_high,1,"Same brand class (national), same product type (sweet iced tea), same variant ('Famous Sweet'), and same size (128 fl oz).",gpt-5-nano
